"","SampleID","BarcodeSequence","LinkerPrimerSequence","FileInput","Source","Mouse","Cage","Genotype","SamplingWeek","Description"
"38","29CMK6WT",NA,NA,"29CMK6WT_S269_L001_R1_001.fastq","CJS",29,NA,"WT",6,"29CMK6WT"
"39","2CMK6KO",NA,NA,"2CMK6KO_S230_L001_R1_001.fastq","CJS",2,NA,"CMKLR1_KO",6,"2CMK6KO"
"40","30CMK6KO",NA,NA,"30CMK6KO_S281_L001_R1_001.fastq","CJS",30,NA,"CMKLR1_KO",6,"30CMK6KO"
"41","31CMK6WT",NA,NA,"31CMK6WT_S198_L001_R1_001.fastq","CJS",31,NA,"WT",6,"31CMK6WT"
"42","32CMK6KO",NA,NA,"32CMK6KO_S210_L001_R1_001.fastq","CJS",32,NA,"CMKLR1_KO",6,"32CMK6KO"
"43","33CMK6WT",NA,NA,"33CMK6WT_S222_L001_R1_001.fastq","CJS",33,NA,"WT",6,"33CMK6WT"
"44","34CMK6KO",NA,NA,"34CMK6KO_S234_L001_R1_001.fastq","CJS",34,NA,"CMKLR1_KO",6,"34CMK6KO"
"45","35CMK6KO",NA,NA,"35CMK6KO_S246_L001_R1_001.fastq","CJS",35,NA,"CMKLR1_KO",6,"35CMK6KO"
"46","36CMK6WT",NA,NA,"36CMK6WT_S258_L001_R1_001.fastq","CJS",36,NA,"WT",6,"36CMK6WT"
"47","37CMK6WT",NA,NA,"37CMK6WT_S270_L001_R1_001.fastq","CJS",37,NA,"WT",6,"37CMK6WT"
"48","38CMK6KO",NA,NA,"38CMK6KO_S282_L001_R1_001.fastq","CJS",38,NA,"CMKLR1_KO",6,"38CMK6KO"
"49","39CMK6KO",NA,NA,"39CMK6KO_S199_L001_R1_001.fastq","CJS",39,NA,"CMKLR1_KO",6,"39CMK6KO"
"50","3CMK6WT",NA,NA,"3CMK6WT_S242_L001_R1_001.fastq","CJS",3,NA,"WT",6,"3CMK6WT"
"51","40CMK6WT",NA,NA,"40CMK6WT_S211_L001_R1_001.fastq","CJS",40,NA,"WT",6,"40CMK6WT"
"52","41CMK8WT",NA,NA,"41CMK8WT_S223_L001_R1_001.fastq","CJS",41,NA,"WT",8,"41CMK8WT"
"53","42CMK8KO",NA,NA,"42CMK8KO_S235_L001_R1_001.fastq","CJS",42,NA,"CMKLR1_KO",8,"42CMK8KO"
"54","43CMK8WT",NA,NA,"43CMK8WT_S247_L001_R1_001.fastq","CJS",43,NA,"WT",8,"43CMK8WT"
"55","44CMK8KO",NA,NA,"44CMK8KO_S259_L001_R1_001.fastq","CJS",44,NA,"CMKLR1_KO",8,"44CMK8KO"
"56","45CMK8WT",NA,NA,"45CMK8WT_S271_L001_R1_001.fastq","CJS",45,NA,"WT",8,"45CMK8WT"
"57","46CMK8WT",NA,NA,"46CMK8WT_S283_L001_R1_001.fastq","CJS",46,NA,"WT",8,"46CMK8WT"
"58","47CMK8KO",NA,NA,"47CMK8KO_S200_L001_R1_001.fastq","CJS",47,NA,"CMKLR1_KO",8,"47CMK8KO"
"59","48CMK8KO",NA,NA,"48CMK8KO_S212_L001_R1_001.fastq","CJS",48,NA,"CMKLR1_KO",8,"48CMK8KO"
"60","49CMK8KO",NA,NA,"49CMK8KO_S224_L001_R1_001.fastq","CJS",49,NA,"CMKLR1_KO",8,"49CMK8KO"
"61","4CMK6KO",NA,NA,"4CMK6KO_S254_L001_R1_001.fastq","CJS",4,NA,"CMKLR1_KO",8,"4CMK6KO"
"62","50CMK8KO",NA,NA,"50CMK8KO_S236_L001_R1_001.fastq","CJS",50,NA,"CMKLR1_KO",8,"50CMK8KO"
"63","51CMK8WT",NA,NA,"51CMK8WT_S248_L001_R1_001.fastq","CJS",51,NA,"WT",8,"51CMK8WT"
"64","52CMK8WT",NA,NA,"52CMK8WT_S260_L001_R1_001.fastq","CJS",52,NA,"WT",8,"52CMK8WT"
"65","53CMK8HET",NA,NA,"53CMK8HET_S272_L001_R1_001.fastq","CJS",53,NA,"CMKLR1_HE",8,"53CMK8HET"
"66","54CMK8KO",NA,NA,"54CMK8KO_S284_L001_R1_001.fastq","CJS",54,NA,"CMKLR1_KO",8,"54CMK8KO"
"67","55CMK8HET",NA,NA,"55CMK8HET_S201_L001_R1_001.fastq","CJS",55,NA,"CMKLR1_HE",8,"55CMK8HET"
"68","56CMK8KO",NA,NA,"56CMK8KO_S213_L001_R1_001.fastq","CJS",56,NA,"CMKLR1_KO",8,"56CMK8KO"
"69","57CMK8WT",NA,NA,"57CMK8WT_S225_L001_R1_001.fastq","CJS",57,NA,"WT",8,"57CMK8WT"
"70","58CMK8KO",NA,NA,"58CMK8KO_S237_L001_R1_001.fastq","CJS",58,NA,"CMKLR1_KO",8,"58CMK8KO"
"71","59CMK8WT",NA,NA,"59CMK8WT_S249_L001_R1_001.fastq","CJS",59,NA,"WT",8,"59CMK8WT"
"72","5CMK6WT",NA,NA,"5CMK6WT_S266_L001_R1_001.fastq","CJS",5,NA,"WT",8,"5CMK6WT"
"73","60CMK8KO",NA,NA,"60CMK8KO_S261_L001_R1_001.fastq","CJS",60,NA,"CMKLR1_KO",8,"60CMK8KO"
"74","61CMK8WT",NA,NA,"61CMK8WT_S273_L001_R1_001.fastq","CJS",61,NA,"WT",8,"61CMK8WT"
"75","62CMK8KO",NA,NA,"62CMK8KO_S285_L001_R1_001.fastq","CJS",62,NA,"CMKLR1_KO",8,"62CMK8KO"
